user_id,play_iteration_id,episode_id,standard,instance,support_level,taskcount,task_id,task_description,why_important,time_completed
1,2,1,null,null,null,1,11,Read story on tablet in directors office DO,null,12/8/17 20:26
1,2,1,null,null,null,2,11,Read story on tablet in directors office DO,null,12/8/17 20:32
1,2,1,null,null,null,3,11,Read story on tablet in directors office DO,null,12/12/17 0:46
1,2,1,null,null,null,4,11,Read story on tablet in directors office DO,null,12/12/17 0:58
1,2,1,null,null,null,5,11,Read story on tablet in directors office DO,null,12/12/17 1:02
1,2,1,null,null,null,6,11,Read story on tablet in directors office DO,null,12/12/17 5:31
1,2,1,null,null,null,7,11,Read story on tablet in directors office DO,null,12/12/17 7:40
1,2,1,null,null,null,8,11,Read story on tablet in directors office DO,null,12/12/17 23:11
1,2,1,null,null,null,9,11,Read story on tablet in directors office DO,null,12/13/17 3:42
1,2,1,null,null,null,10,11,Read story on tablet in directors office DO,null,12/13/17 6:19
1,2,1,null,null,null,11,11,Read story on tablet in directors office DO,null,12/13/17 13:36
1,2,1,null,null,null,12,11,Read story on tablet in directors office DO,null,12/13/17 18:12
1,2,1,null,null,null,13,11,Read story on tablet in directors office DO,null,12/13/17 18:18
1,2,1,null,null,null,14,11,Read story on tablet in directors office DO,null,12/13/17 21:53
1,2,1,null,null,null,15,11,Read story on tablet in directors office DO,null,12/14/17 4:40
1,2,1,null,null,null,16,11,Read story on tablet in directors office DO,null,12/19/17 14:35
1,2,1,null,null,null,17,11,Read story on tablet in directors office DO,null,12/19/17 14:38
1,2,1,null,null,null,18,11,Read story on tablet in directors office DO,null,12/21/17 13:48
1,2,1,null,null,null,19,11,Read story on tablet in directors office DO,null,1/4/18 18:30
1,2,1,null,null,null,20,11,Read story on tablet in directors office DO,null,1/4/18 18:35
1,2,1,null,null,null,21,11,Read story on tablet in directors office DO,null,1/4/18 18:58
1,2,1,null,null,null,22,11,Read story on tablet in directors office DO,null,1/9/18 16:59
1,2,1,null,null,null,23,11,Read story on tablet in directors office DO,null,1/9/18 17:00
1,2,1,null,null,null,24,11,Read story on tablet in directors office DO,null,1/9/18 17:00
1,2,1,null,null,null,25,11,Read story on tablet in directors office DO,null,1/10/18 17:07
1,2,1,null,null,null,26,11,Read story on tablet in directors office DO,null,1/22/18 18:58
1,2,1,null,null,null,27,11,Read story on tablet in directors office DO,null,1/22/18 19:06
1,2,1,null,null,null,28,11,Read story on tablet in directors office DO,null,1/30/18 20:39
1,2,1,null,null,null,29,11,Read story on tablet in directors office DO,null,1/30/18 20:43
1,2,1,null,null,null,30,11,Read story on tablet in directors office DO,null,1/30/18 20:43
1,2,1,null,null,null,31,11,Read story on tablet in directors office DO,null,1/31/18 20:37
1,2,1,null,null,null,32,11,Read story on tablet in directors office DO,null,1/31/18 22:00
1,2,1,null,null,null,33,11,Read story on tablet in directors office DO,null,2/1/18 17:14
1,2,1,null,null,null,34,11,Read story on tablet in directors office DO,null,2/3/18 1:41
1,2,1,null,null,null,35,11,Read story on tablet in directors office DO,null,2/8/18 17:17
1,2,1,null,null,null,36,11,Read story on tablet in directors office DO,null,2/8/18 18:08
1,2,1,null,null,null,37,11,Read story on tablet in directors office DO,null,2/8/18 18:09
1,2,1,null,null,null,1,15,Read bulletinBoard in VISITOR'S AREA,null,12/8/17 20:31
1,2,1,null,null,null,2,15,Read bulletinBoard in VISITOR'S AREA,null,12/8/17 20:35
1,2,1,null,null,null,3,15,Read bulletinBoard in VISITOR'S AREA,null,12/8/17 20:35
1,2,1,null,null,null,4,15,Read bulletinBoard in VISITOR'S AREA,null,12/8/17 20:39
1,2,1,null,null,null,5,15,Read bulletinBoard in VISITOR'S AREA,null,12/13/17 18:11
1,2,1,null,null,null,6,15,Read bulletinBoard in VISITOR'S AREA,null,12/13/17 21:55
1,2,1,null,null,null,7,15,Read bulletinBoard in VISITOR'S AREA,null,12/14/17 1:49
1,2,1,null,null,null,8,15,Read bulletinBoard in VISITOR'S AREA,null,12/18/17 13:23
1,2,1,null,null,null,9,15,Read bulletinBoard in VISITOR'S AREA,null,12/18/17 13:23
1,2,1,null,null,null,10,15,Read bulletinBoard in VISITOR'S AREA,null,12/18/17 13:23
1,2,1,null,null,null,11,15,Read bulletinBoard in VISITOR'S AREA,null,12/18/17 13:23
1,2,1,null,null,null,12,15,Read bulletinBoard in VISITOR'S AREA,null,12/18/17 13:23
1,2,1,null,null,null,13,15,Read bulletinBoard in VISITOR'S AREA,null,12/18/17 13:23
1,2,1,null,null,null,14,15,Read bulletinBoard in VISITOR'S AREA,null,12/18/17 13:23
1,2,1,null,null,null,15,15,Read bulletinBoard in VISITOR'S AREA,null,12/18/17 13:23
1,2,1,null,null,null,16,15,Read bulletinBoard in VISITOR'S AREA,null,12/18/17 13:24
1,2,1,null,null,null,17,15,Read bulletinBoard in VISITOR'S AREA,null,12/19/17 14:37
1,2,1,null,null,null,18,15,Read bulletinBoard in VISITOR'S AREA,null,12/20/17 22:10
1,2,1,null,null,null,19,15,Read bulletinBoard in VISITOR'S AREA,null,2/3/18 1:38
1,2,1,null,null,null,1,16,Read flyers in PARK,null,12/8/17 20:34
1,2,1,null,null,null,2,16,Read flyers in PARK,null,12/8/17 20:34
1,2,1,null,null,null,3,16,Read flyers in PARK,null,12/8/17 20:38
1,2,1,null,null,null,4,16,Read flyers in PARK,null,12/19/17 14:37
1,2,1,null,null,null,5,16,Read flyers in PARK,null,12/21/17 13:53
1,2,1,null,null,null,6,16,Read flyers in PARK,null,1/4/18 18:32
1,2,1,null,null,null,7,16,Read flyers in PARK,null,1/4/18 18:32
1,2,1,null,null,null,8,16,Read flyers in PARK,null,1/10/18 16:32
1,2,1,null,null,null,9,16,Read flyers in PARK,null,1/10/18 17:03
1,2,1,null,null,null,10,16,Read flyers in PARK,null,1/30/18 20:43
1,2,1,null,null,null,11,16,Read flyers in PARK,null,2/1/18 17:23
